1,1,1,0.11904
1,1,2,-0.15708
2,1,1,-0.038474
2,1,2,-0.020285
3,1,1,-0.11578
3,1,2,-0.04006
4,1,1,0.015047
4,1,2,-0.00026027
5,1,1,0.055251
6,1,1,-0.0014406
6,1,2,0.0032839
7,1,1,0.24917
7,1,2,0.051759
8,1,1,0.046971
1,2,2,-0.075173
2,2,1,-0.047575
2,2,2,-0.066488
3,2,2,0.12737
4,2,1,-0.030011
4,2,2,0.0090271
5,2,2,0.015109
6,2,1,0.019694
6,2,2,-0.009073
7,2,1,-0.057086
7,2,2,0.10641
8,2,1,-0.079248
8,2,2,0.036086
1,3,1,-0.060735
1,3,2,0.09717
2,3,1,0.064997
2,3,2,-0.03904
3,3,1,-0.10703
3,3,2,0.099559
4,3,1,0
4,3,2,-0.0052014
5,3,1,0.11775
5,3,2,0.014311
6,3,1,0.039587
7,3,2,0.24237
8,3,1,-0.089173
8,3,2,-0.0075527
1,4,1,-0.054218
2,4,1,0.070038
2,4,2,0.1086
3,4,1,-0.071206
3,4,2,0.13901
4,4,2,9.5881e-06
5,4,1,0.037499
5,4,2,0.20334
6,4,1,0.014265
6,4,2,-0.009675
7,4,1,-0.00018883
7,4,2,0.047881
8,4,1,-0.0041886
8,4,2,-0.024102
1,5,1,0.0091362
1,5,2,-0.097598
2,5,1,-0.1065
3,5,1,-0.041856
4,5,1,0.0067079
4,5,2,0
5,5,1,0.090536
5,5,2,-0.13854
6,5,1,0
6,5,2,0
7,5,1,0.014377
7,5,2,0.044046
8,5,1,-0.15636
8,5,2,-0.0026016
1,6,2,-0.092626
2,6,1,-0.086898
2,6,2,-0.070695
3,6,1,-0.0055059
4,6,1,-0.10972
5,6,1,-0.0097588
5,6,2,0.049273
6,6,1,0.065235
7,6,2,0.63755
8,6,1,0.0026187
1,7,2,0
3,7,2,0
4,7,1,0
4,7,2,0
5,7,1,0
5,7,2,0.084022
6,7,1,-0.044665
6,7,2,0.0049942
7,7,1,0.038165
7,7,2,0.027207
8,7,1,0.052401
8,7,2,0.03204
1,8,1,0.10761
1,8,2,0.051276
2,8,2,-0.057383
3,8,1,0.037499
3,8,2,0.0095547
4,8,1,0
5,8,1,-0.1318
5,8,2,0.07791
6,8,2,-0.0063188
7,8,1,0.43693
7,8,2,0.015883
8,8,1,0.12143
8,8,2,-0.10958
